,inputs,targets,predictions
247,amerikkargalukku,அமெரிக்கர்களுக்கு,அமிரிக்கர்க்கோகு
248,amerikkarkalukku,அமெரிக்கர்களுக்கு,அமிரிக்கர்க்கோகு
249,amerikkargal,அமெரிக்கர்கள்,அமிரிக்கர்கள்
250,amerikkarkal,அமெரிக்கர்கள்,அமிரிக்கர்கள்
251,amaerikka,அமெரிக்கா,அமேரிக்க
252,amarica,அமெரிக்கா,அமரிச
253,amaricaa,அமெரிக்கா,அமரிசா
254,amarika,அமெரிக்கா,அமரிக
255,amarikaa,அமெரிக்கா,அமரிகா
256,america,அமெரிக்கா,அமெரிக்க
257,americaa,அமெரிக்கா,அமெரிக்க
258,amerika,அமெரிக்கா,அமெரிக்க
259,amerikaa,அமெரிக்கா,அமெரிக்க
260,amerikka,அமெரிக்கா,அமெரிக்க
261,ameriqa,அமெரிக்கா,அமெரிக்க
262,ameriqaa,அமெரிக்கா,அமெரிக்க
263,americaavirku,அமெரிக்காவிற்கு,அமெரிக்காவிறு
264,americavirkku,அமெரிக்காவிற்கு,அமெரிக்காவிக்குப்
265,americavirku,அமெரிக்காவிற்கு,அமெரிக்காவிறு
266,amerikkaavirku,அமெரிக்காவிற்கு,அமெரிக்காவிற்கு
267,americaavil,அமெரிக்காவில்,அமெரிக்காவில்
268,americavil,அமெரிக்காவில்,அமெரிக்காவில்
269,amerikkaavil,அமெரிக்காவில்,அமெரிக்கவில்
270,americaavukku,அமெரிக்காவுக்கு,அமெரிக்காகவு
271,americavukku,அமெரிக்காவுக்கு,அமெரிக்காக்கு
272,amerikkaavukku,அமெரிக்காவுக்கு,அமெரிக்காக்கு
273,americaavai,அமெரிக்காவை,அமெரிக்காவை
274,americavai,அமெரிக்காவை,அமெரிக்காவை
275,amerikkaavai,அமெரிக்காவை,அமெரிக்கவை
276,amaichchup,அமைச்சுப்,அமைச்சுப்
277,amaiththu,அமைத்து,அமைத்து
278,amaithu,அமைத்து,அமைத்து
279,amaitthu,அமைத்து,அமைத்து
280,amaiththuth,அமைத்துத்,அமைத்துத்
281,amaithuth,அமைத்துத்,அமைத்து
282,amaitthuth,அமைத்துத்,அமைத்துத்
283,amachankalil,அம்சங்களில்,அமசங்களில்
284,amasankalil,அம்சங்களில்,அமசங்களில்
285,amsangalil,அம்சங்களில்,அம்சங்களில்
286,amsangkalil,அம்சங்களில்,அம்சங்களில்
287,amchankalum,அம்சங்களும்,அம்சங்களும்
288,amsangalum,அம்சங்களும்,அம்சங்களும்
289,amsankalum,அம்சங்களும்,அம்சங்களும்
290,amsangalaik,அம்சங்களைக்,அம்சங்களைக்
291,amsangazhaik,அம்சங்களைக்,அம்சங்களைச்
292,amsanggalaik,அம்சங்களைக்,அம்சங்களைக்
293,amsaththai,அம்சத்தை,அமஸ்தத்தி
294,amchamaana,அம்சமான,அம்சமான
295,amchamana,அம்சமான,அம்சமண
296,amsamaana,அம்சமான,அம்மாசன
297,ambalavaanar,அம்பலவாணர்,அம்பலவரான
298,ambalavanar,அம்பலவாணர்,அம்பல்வாரண்
299,ampalavaanar,அம்பலவாணர்,அம்பலவரான
300,ayana,அயன,அய்யன்
301,ayirai,அயிரை,அயிரை
302,airoappiya,அய்ரோப்பிய,ஐரோப்பிய
303,airoopiya,அய்ரோப்பிய,ஐரோபியா
304,airoppiya,அய்ரோப்பிய,ஐரோப்பிய
305,ayrooppiya,அய்ரோப்பிய,அறுபோரியா
306,ayropiya,அய்ரோப்பிய,அரோட்டிய
307,europe,அய்ரோப்பிய,ஐரோப்பா
308,arakka,அரக்க,அரக்க
309,arrakka,அரக்க,அரக்க
310,arakkan,அரக்கன்,அரக்கன்
311,arrakkan,அரக்கன்,அரக்கான்
312,arakku,அரக்கு,அரக்கு
313,araku,அரக்கு,அரகு
314,aruppukkoattai,அருப்புக்கோட்டை,அருப்புக்கூட்டை
315,aruppukkoottai,அருப்புக்கோட்டை,அருப்புக்கூடிய
316,aruppukkottai,அருப்புக்கோட்டை,அறுப்புக்கொடிய
317,aruppukoattai,அருப்புக்கோட்டை,அருப்புக்கூடிய
318,arumbu,அரும்பு,அரும்பு
319,arppaniththa,அர்ப்பணித்த,அர்ப்பின்டத்
320,ariyappatta,அறியப்பட்ட,அறியப்பட்ட
321,ariyappattadhu,அறியப்பட்டது,அறியப்பட்டது
322,ariyappattathu,அறியப்பட்டது,அறியப்பட்டது
323,ariyappattu,அறியப்பட்டு,அறியப்பட்டு
324,ariyaar,அறியார்,அரியார்
325,ariyum,அறியும்,அரியும்
326,arivadhu,அறிவது,அறிவது
327,arivathu,அறிவது,அறிவது
328,arivan,அறிவன்,அறிவன்
329,arivin,அறிவன்,அறிவின்
330,arivar,அறிவர்,அறிவர்
331,arivin,அறிவின்,அறிவின்
332,arivippugalai,அறிவிப்புகளை,அறிவிப்புகளை
333,arivippukalai,அறிவிப்புகளை,அறிவிப்புகளை
334,arivil,அறிவில்,அறிவில்
335,arivulla,அறிவுள்ள,அறிவுள்ள
336,arupathaam,அறுபதாம்,அருபதாம்
337,arupathugalil,அறுபதுகளில்,அருபத்துகளில்
338,arupathukalil,அறுபதுகளில்,அருபத்துகளில்
339,arupaththu,அறுபத்து,அருபத்து
340,aupaththu,அறுபத்து,ஆப்பத்து
341,araiguuval,அறைகூவல்,அரைகுடன்
342,araikooval,அறைகூவல்,அரைகோலா
343,araikuuval,அறைகூவல்,அரைகுடன்
344,alagaal,அலகால்,அழகால்
345,alakaal,அலகால்,அழகால்
346,alagil,அலகில்,அலகில்
347,alakil,அலகில்,அலகில்
348,aliyum,அலியும்,அலியும்
349,alavaal,அளவால்,அளவால்
350,alavukadandhdha,அளவுகடந்த,அடக்கப்பட்டது
351,alavukadandhtha,அளவுகடந்த,அடக்கப்பட்டது
352,alavukadantha,அளவுகடந்த,அளவுகாட்டான்
353,alavukatandhdha,அளவுகடந்த,அடக்கப்பட்டுவர்
354,alavukatandhtha,அளவுகடந்த,அடக்கப்பட்டது
355,alavugalum,அளவுகளும்,அளவுகளும்
356,alavukalum,அளவுகளும்,அளவுகளும்
357,alavugalai,அளவுகளை,அளவுகளை
358,alavukalai,அளவுகளை,அளவுகளை
359,alavugal,அளவுகள்,அளவுகள்
360,alavukal,அளவுகள்,அளவுகள்
361,alavukkuch,அளவுக்குச்,அளவுக்குச்
362,alavukkup,அளவுக்குப்,அளவுக்குப்
363,alavukkum,அளவுக்கும்,அளவுக்கும்
364,alavulla,அளவுள்ள,அளவுள்ள
365,alagi,அழகி,அழகி
366,alaki,அழகி,அழகி
367,azhagi,அழகி,அழகி
368,azhaki,அழகி,அழகி
369,alaginai,அழகினை,அழகினை
370,alakinai,அழகினை,அலகினை
371,alazhaginai,அழகினை,அழாகிழிக்
372,azhaginai,அழகினை,அழகினை
373,azhakinai,அழகினை,அழக்கினை
374,alagin,அழகின்,அலகின்
375,alakin,அழகின்,அலகின்
376,azhagin,அழகின்,அழகின்
377,azhakin,அழகின்,அழகின்
378,alakiyaana,அழகியான,அழகியான
379,alazhagiyaana,அழகியான,அழகியலம்
380,azhagiyaana,அழகியான,அழகியான
381,azhakiyaana,அழகியான,அழகியான
382,alagil,அழகில்,அலகில்
383,alakil,அழகில்,அலகில்
384,azhagil,அழகில்,அழகி
385,azhakil,அழகில்,அழகி
386,azhiththadhu,அழித்தது,அழித்தது
387,azhiththathu,அழித்தது,அழித்தது
388,azhiththana,அழித்தன,அழித்தன
389,azhiththanar,அழித்தனர்,அழித்தனர்
390,azhiththavan,அழித்தவன்,அழித்தவன்
391,aliththaan,அழித்தான்,அளித்தான்
392,azhiththaan,அழித்தான்,அழித்தான்
393,aliththaar,அழித்தார்,அளித்தார்
394,azhiththaar,அழித்தார்,அழித்தார்
395,aluththi,அழுத்தி,அழுத்தி
396,azhuththi,அழுத்தி,அழுத்தி
397,alaippu,அழைப்பு,அலைப்பு
398,azhaippu,அழைப்பு,அழைப்பு
399,avathaaranggalil,அவதாரங்களில்,அவதரங்களில்
400,avathaarangkalil,அவதாரங்களில்,அவதரங்களில்
401,avathaaranggal,அவதாரங்கள்,அவதராங்கள்
402,avathaarangkal,அவதாரங்கள்,அவதராங்கள்
403,avathaaraththil,அவதாரத்தில்,அவதாரத்தில்
404,avatar,அவதார்,அவற்ற
405,avathaar,அவதார்,அவதார்
406,avanudaiya,அவனுடைய,அவனுடையே
407,avaridam,அவரிடம்,அவரிடம்
408,avatrtrudan,அவற்றுடன்,அவற்றுடன்
409,avatrudan,அவற்றுடன்,அவற்றுடன்
410,avattrudan,அவற்றுடன்,அவற்றுடன்
411,avalukku,அவளுக்கு,அவலுக்கு
412,avaludan,அவளுடன்,அவலுடன்
413,availaik,அவளைக்,அவைலைக்
414,avalaik,அவளைக்,அவளைக்
415,avalaith,அவளைத்,அவளைத்
416,avalaip,அவளைப்,ஆவ்லைப்
417,avvagai,அவ்வகை,அவக்கை
418,avvakai,அவ்வகை,அவக்கை
419,aagast,ஆகஸ்ட்,ஆகஸ்ட்
420,aagust,ஆகஸ்ட்,ஆகஸ்ட்
421,aakast,ஆகஸ்ட்,ஆகஸ்ட்
422,agast,ஆகஸ்ட்,அகஸ்ட்
423,august,ஆகஸ்ட்,ஆகஸ்ட்
424,auuguust,ஆகஸ்ட்,ஆக்டஸ்
425,avgast,ஆகஸ்ட்,அவக்ஸ்த
426,awgast,ஆகஸ்ட்,ஆவக்ஸ்ட்
427,aagivida,ஆகிவிட,ஆகிவிட
428,aagivita,ஆகிவிட,ஆகிவிட
429,aakivida,ஆகிவிட,ஆகிவிட
430,aagividum,ஆகிவிடும்,ஆகிவிடும்
431,aagivitum,ஆகிவிடும்,ஆகிவிடும்
432,aakividum,ஆகிவிடும்,ஆகிவிடும்
433,aaakspoard,ஆக்ஸ்போர்ட்,ஆஸ்கப்பர்
434,aaksfoard,ஆக்ஸ்போர்ட்,ஆஸ்தும்பேட்
435,aakspoard,ஆக்ஸ்போர்ட்,ஆஸ்காப்பூர்
436,oxford,ஆக்ஸ்போர்ட்,ஆஸ்பர்
437,aasiramaththirku,ஆசிரமத்திற்கு,ஆசிரமதிற்கு
438,aasiramaththiruku,ஆசிரமத்திற்கு,ஆசிரமதித்துறு
439,aasiramaththil,ஆசிரமத்தில்,ஆசிரமதித்
440,aachiramam,ஆசிரமம்,ஆசிரியம்
441,aashram,ஆசிரமம்,ஆச்சார்
442,aasiramam,ஆசிரமம்,ஆசிரமம்
443,aasram,ஆசிரமம்,ஆர்சம்
444,ashram,ஆசிரமம்,அசரம்
445,ashramm,ஆசிரமம்,அச்சரம்
446,asram,ஆசிரமம்,அஸ்ராம்
447,asramm,ஆசிரமம்,அஸ்ரம்ம்
448,aasiriyaraakap,ஆசிரியராகப்,ஆசிரியராகப்
449,assiriyaraagap,ஆசிரியராகப்,ஆசிரியமற்ற
450,aasiriyaraakavum,ஆசிரியராகவும்,ஆசிரியராகவும்
451,assiriyaraagavum,ஆசிரியராகவும்,ஆசிரியமற்ற
452,aanchchanaeyar,ஆஞ்சநேயர்,ஆஞ்செங்கேர்
453,aanjaneayar,ஆஞ்சநேயர்,ஆனஞ்செய்யானா
454,aanjchanaeyar,ஆஞ்சநேயர்,ஆண்சனேசின்
455,anjaneyar,ஆஞ்சநேயர்,அஞ்சரியன்
456,aadippoora,ஆடிப்பூர,ஆடிப்போர
457,aadippooram,ஆடிப்பூரம்,ஆடிப்போரம்
458,aadugalil,ஆடுகளில்,ஆடுகளில்
459,aadukalil,ஆடுகளில்,ஆடுகளில்
460,aadubavar,ஆடுபவர்,ஆடுபவர்
461,aadupavar,ஆடுபவர்,ஆடுபவர்
462,aadum,ஆடும்,ஆடும்
463,aaduvar,ஆடுவர்,ஆட்டுவர்
464,aatti,ஆட்டி,ஆட்டி
465,aattin,ஆட்டின்,ஆட்டன்
466,aangalidam,ஆண்களிடம்,ஆங்கிலாய்வும்
467,aangalitam,ஆண்களிடம்,ஆங்கிலாய்வும்
468,aankalitam,ஆண்களிடம்,ஆங்கிலாய்வும்
469,aangalin,ஆண்களின்,ஆங்களின்
470,aankalin,ஆண்களின்,ஆண்களின்
471,aangalilum,ஆண்களிலும்,ஆங்களிலும்
472,aankalilum,ஆண்களிலும்,ஆண்களிலும்
473,aangalukkaana,ஆண்களுக்கான,ஆங்களுக்கான
474,aangalum,ஆண்களும்,ஆண்களும்
475,aankalum,ஆண்களும்,ஆண்களும்
476,aangalae,ஆண்களே,ஆங்களே
477,aankalae,ஆண்களே,ஆண்களே
478,aangalaik,ஆண்களைக்,ஆண்கலைக்
479,aankalaik,ஆண்களைக்,ஆண்கலைக்
480,aangak,ஆண்கள்,ஆங்கக்
481,aangal,ஆண்கள்,ஆங்கள்
482,aankal,ஆண்கள்,ஆண்கள்
483,aanda,ஆண்ட,ஆண்ட
484,aanta,ஆண்ட,ஆண்ட
485,aandathu,ஆண்டது,ஆண்டது
486,aantathu,ஆண்டது,ஆண்டது
487,aandanar,ஆண்டனர்,ஆண்டாரன்
488,aantanar,ஆண்டனர்,ஆண்டனர்
489,aandarchan,ஆண்டர்சன்,ஆண்டர்சன்
490,aandarsan,ஆண்டர்சன்,ஆண்டர்சன்
491,andarshon,ஆண்டர்சன்,அந்தரசுன்
492,andarson,ஆண்டர்சன்,அந்தரசன்
493,anderson,ஆண்டர்சன்,அன்டர்சன்
494,aandavar,ஆண்டவர்,ஆண்டவர்
495,aantavar,ஆண்டவர்,ஆண்டவர்
496,aandilirunththu,ஆண்டிலிருந்து,ஆண்டிலிருந்து
497,aandilirunthu,ஆண்டிலிருந்து,ஆண்டிலிருந்து
498,aandae,ஆண்டே,ஆண்டே
499,aantae,ஆண்டே,ஆண்டே
500,aatharavaaga,ஆதரவாக,ஆதரவாக
501,aatharavaaka,ஆதரவாக,ஆதரவாக
502,aatharavaagach,ஆதரவாகச்,ஆதரவாகச்
503,aatharavaakach,ஆதரவாகச்,ஆதரவாகச்
504,aatharvaagach,ஆதரவாகச்,ஆத்தமாகவே
505,aatharikkavillai,ஆதரிக்கவில்லை,ஆதரிக்கவில்லை
506,aathmaa,ஆத்மா,ஆத்மா
507,aathmaavin,ஆத்மாவின்,ஆத்மாவின்
508,aathmaavil,ஆத்மாவில்,ஆத்மாவில்
509,aanthai,ஆந்தை,ஆந்தை
510,aanththai,ஆந்தை,ஆந்தை
511,aanaimalai,ஆனைமலை,ஆணைமலை
512,aan,ஆன்,ஆன்
513,aana,ஆன்,ஆன
514,ain,ஆன்,ஆன்
515,ainn,ஆன்,ஏன்
516,an,ஆன்,அன்
517,ann,ஆன்,அன்ன
518,ein,ஆன்,ஐன்
519,einn,ஆன்,ஏன்
520,en,ஆன்,என்
521,enn,ஆன்,என்
522,on,ஆன்,ஒன்
523,aanmaa,ஆன்மா,ஆண்மா
524,anema,ஆன்மா,அணிமா
525,aniima,ஆன்மா,அணிமை
526,anima,ஆன்மா,அணிமா
527,animaa,ஆன்மா,அணிமா
