,inputs,targets,predictions
42,angkeekaaraththaip,அங்கீகாரத்தைப்,அங்கீகாரத்தைப்
43,asaiyaa,அசையா,அசையா
44,ashokan,அசோகன்,அசோகன்
45,asokan,அசோகன்,அசோகன்
46,achoakaa,அசோகா,அசோக
47,ashok,அசோகா,அசோக்
48,ashoka,அசோகா,அசோக்
49,ashokaa,அசோகா,அசோக்
50,asok,அசோகா,அசோக்
51,asoka,அசோகா,அசோக்
52,asokaa,அசோகா,அசோக்
53,asook,அசோகா,அசோக்
54,asooka,அசோகா,அசோக்
55,asookaa,அசோகா,அசோக்
56,asoq,அசோகா,அசோக்
57,asoqa,அசோகா,அசோக்
58,asoqaa,அசோகா,அசோக்
59,adakki,அடக்கி,அடக்கி
60,adakkik,அடக்கிக்,அடக்கிக்
61,adainkiya,அடங்கிய,அடைஞ்சிய
62,adangiya,அடங்கிய,அடங்கிய
63,adankiya,அடங்கிய,அடங்கிய
64,adanggiyadhu,அடங்கியது,அடங்கியது
65,adanggiyathu,அடங்கியது,அடங்கியது
66,adangiyadhu,அடங்கியது,அடங்கியது
67,adangiyathu,அடங்கியது,அடங்கியது
68,adankiyathu,அடங்கியது,அடங்கியது
69,adangiyulla,அடங்கியுள்ள,அடங்கியுள்ள
70,adangkiyulla,அடங்கியுள்ள,அடங்கியுள்ள
71,adankiyuzhzha,அடங்கியுள்ள,அடங்கியுள்ள
72,pidiththu,அடம்,பிடித்து
73,pitittu,அடம்,பிடித்து
74,aada,அடா,ஆட
75,aadaa,அடா,ஆடா
76,ada,அடா,அட
77,adaa,அடா,அடா
78,manadhil,அடி,மனதில்
79,manathil,அடி,மனதில்
80,manatil,அடி,மனடில்
81,adigalum,அடிகளும்,அடிகளும்
82,adihalum,அடிகளும்,அடியலும்
83,adikalum,அடிகளும்,அடிகளும்
84,adigalaiyum,அடிகளையும்,அதிகளையும்
85,adigalayum,அடிகளையும்,அதிகளையும்
86,adikalaiyum,அடிகளையும்,அதிகளையும்
87,adikalayum,அடிகளையும்,அதிகளையும்
88,adikkadi,அடிக்கடி,அதிக்கடி
89,adikkadik,அடிக்கடிக்,அடிக்கடிக்
90,adikku,அடிக்கு,அதிக்கு
91,adith,அடித்,அடித்
92,adiyilirundhu,அடியிலிருந்து,அடியிலிருந்து
93,adiyilirunthu,அடியிலிருந்து,அடியிலிருந்து
94,adiyilum,அடியிலும்,அடியிலும்
95,adiyum,அடியும்,அடியும்
96,atiyum,அடியும்,அடியும்
97,adiyai,அடியை,அடியை
98,atiyai,அடியை,அடியை
99,aduththum,அடுத்தும்,அடுத்தும்
100,aduthum,அடுத்தும்,அடுத்தும்
101,adutthum,அடுத்தும்,அடுத்தும்
102,adaithal,அடைதல்,அடைத்தல்
103,ataithal,அடைதல்,அடைத்தல்
104,attooliyangalum,அட்டூழியங்களும்,அட்டோலியங்களும்
105,attoozhiyangalum,அட்டூழியங்களும்,அட்டோசியங்களும்
106,attoozhiyanggalum,அட்டூழியங்களும்,அட்டோசியங்களும்
107,andar,அண்டர்,அன்டர்
108,antar,அண்டர்,அன்டர்
109,under,அண்டர்,அண்டர்
110,annan,அண்ணன்,அன்னன்
111,adhanadhan,அதனதன்,அதனதன்
112,adhanathan,அதனதன்,அதனதன்
113,athanathan,அதனதன்,அதனதன்
114,adhanudan,அதனுடன்,அதன்புடன்
115,athanudan,அதனுடன்,அதன்புடன்
116,adhaavadhu,அதாவது,அதாவது
117,adhavadhu,அதாவது,அதவது
118,athaavathu,அதாவது,அதாவது
119,athavathu,அதாவது,அதவது
120,adhigappadiyaaga,அதிகப்படியாக,அதிகப்படியாக
121,athigappadiyaaga,அதிகப்படியாக,அதிகபடியாக
122,athikappatiyaaka,அதிகப்படியாக,அதிகப்படியாக
123,adhikamaanathu,அதிகமானது,அதிகமானது
124,athigamaanathu,அதிகமானது,அதிகமானது
125,athikamaanathu,அதிகமானது,அதிகமானது
126,adhidhi,அதிதி,அதிதி
127,adiiti,அதிதி,அடித்தி
128,adiitii,அதிதி,அடித்தி
129,adiittii,அதிதி,அடித்தி
130,aditi,அதிதி,அடி
131,aditii,அதிதி,அடி
132,aditti,அதிதி,அடித்தி
133,athithi,அதிதி,அதித்தி
134,atiti,அதிதி,அடி
135,adhiradi,அதிரடி,அதிராடி
136,athiradi,அதிரடி,அதிராடி
137,adhirvu,அதிர்வு,அதிர்வு
138,athirvu,அதிர்வு,அதிர்வு
139,adhirvukaly,அதிர்வுகளை,அதிர்வுகளை
140,athirvukalai,அதிர்வுகளை,அதிர்வுகளை
141,athirvukalay,அதிர்வுகளை,அதிர்வுகளை
142,athirvugal,அதிர்வுகள்,அதிர்வுகள்
143,athirvukal,அதிர்வுகள்,அதிர்வுகள்
144,adhilum,அதிலும்,அதிலும்
145,athillum,அதிலும்,அதிலும்
146,athilum,அதிலும்,அதிலும்
147,adhilaeyae,அதிலேயே,அதிலேயே
148,adhileye,அதிலேயே,அதிலேயே
149,athilaeyae,அதிலேயே,அதிலேயே
150,athileye,அதிலேயே,அதிலேயே
151,adheedhamaana,அதீதமான,அதேதமான
152,adhidhamana,அதீதமான,அதிதமன
153,atheethamaana,அதீதமான,அதேதமான
154,athithamana,அதீதமான,அதிதமன
155,adhaepoal,அதேபோல்,அதேபோல்
156,ateepool,அதேபோல்,அதீபோல்
157,atepol,அதேபோல்,அடெபோல்
158,athaepool,அதேபோல்,அதேபோல்
159,aththiyaayangalil,அத்தியாயங்களில்,அத்தியாயங்களில்
160,aththiyaayangkalil,அத்தியாயங்களில்,அத்தியாயங்களில்
161,aththiyaayangalai,அத்தியாயங்களை,அத்தியாயங்களை
162,aththiyaayangkalai,அத்தியாயங்களை,அத்தியாயங்களை
163,aththiyaayangal,அத்தியாயங்கள்,அத்தியாயங்கள்
164,aththiyaayangkal,அத்தியாயங்கள்,அத்தியாயங்கள்
165,aththiyaayaththin,அத்தியாயத்தின்,அத்தியாயத்தின்
166,aththiyaayaththil,அத்தியாயத்தில்,அத்தியாயத்தில்
167,aththiyaayam,அத்தியாயம்,அத்தியாயம்
168,andhak,அந்தக்,அந்தக்
169,andhakh,அந்தக்,அந்தக்
170,anthak,அந்தக்,அந்தக்
171,andhandha,அந்தந்த,அந்தந்த
172,anthantha,அந்தந்த,அந்தந்த
173,andhoni,அந்தோனி,அந்தோணி
174,anthoni,அந்தோனி,அந்தோணி
175,anthony,அந்தோனி,அந்தோணி
176,antony,அந்தோனி,அந்தோணி
177,ananrtham,அனர்த்தம்,ஆனந்தம்
178,anarththam,அனர்த்தம்,அனந்தம்
179,aneeta,அனிதா,அனீட
180,aneetaa,அனிதா,அனீடா
181,aniita,அனிதா,அனிட
182,aniitaa,அனிதா,அனிட
183,anita,அனிதா,அனித
184,anitaa,அனிதா,அனிட
185,anitha,அனிதா,அனித
186,anithaa,அனிதா,அனிதா
187,anubama,அனுபமா,அனுபம
188,anubamaa,அனுபமா,அனுபமா
189,anupama,அனுபமா,அனுபமா
190,anupamaa,அனுபமா,அனுபமா
191,anubavika,அனுபவிக்க,அனுபவிக
192,anubavikka,அனுபவிக்க,அனுபவிக்க
193,anupavikka,அனுபவிக்க,அனுபவிக்க
194,anuppia,அனுப்பிய,அனுப்பிய
195,anuppiya,அனுப்பிய,அனுப்பிய
196,anuppiyathu,அனுப்பியது,அனுப்பியது
197,anuraadhapuraththil,அனுராதபுரத்தில்,அனுராடபுரத்தில்
198,anuraathapuraththil,அனுராதபுரத்தில்,அனுராதபுரத்தில்
199,anuradhapuraththil,அனுராதபுரத்தில்,அனுரதபுரத்தில்
200,anurathapuraththil,அனுராதபுரத்தில்,அனுரதபுரத்தில்
201,anuraathapuram,அனுராதபுரம்,அனுராதபுரம்
202,anuradhapuram,அனுராதபுரம்,அனுரதபுரம்
203,anurathapuram,அனுராதபுரம்,அனுரரப்புறம்
204,anniya,அன்னிய,அந்நிய
205,anbai,அன்பை,அன்பை
206,anbaip,அன்பைப்,அன்பைப்
207,anpaip,அன்பைப்,அன்பைப்
208,anbaiyum,அன்பையும்,அன்பையும்
209,andri,அன்றி,அன்றி
210,antri,அன்றி,அன்றி
211,andriravu,அன்றிரவு,ஆண்டிரேவு
212,antriravu,அன்றிரவு,ஆண்டிரது
213,abinaya,அபிநய,அபிராயா
214,apinaya,அபிநய,ஒபினய
215,abudhabiyil,அபுதாபியில்,அபுதாபியில்
216,abuthaabiyil,அபுதாபியில்,அபுதாபியில்
217,abul,அபுல்,ஆப்
218,aboorvamaana,அபூர்வமான,அபுர்வமான
219,aburvamaana,அபூர்வமான,அபுர்வமான
220,apoorvamaana,அபூர்வமான,அபுர்வமான
221,appagudhi,அப்பகுதி,அப்பகுதி
222,appaguthi,அப்பகுதி,அப்பகுதி
223,appakuthi,அப்பகுதி,அப்பகுதி
224,appaguthigalil,அப்பகுதிகளில்,அப்பகுதிகளில்
225,appaguthikalil,அப்பகுதிகளில்,அப்பகுதிகளில்
226,appakuthikalil,அப்பகுதிகளில்,அப்பகுதிகளில்
227,appaguthikku,அப்பகுதிக்கு,அப்பகுதிக்கு
228,appakuthikku,அப்பகுதிக்கு,அப்பகுதிக்கு
229,appaguthiyin,அப்பகுதியின்,அப்பகுதியின்
230,appakuthiin,அப்பகுதியின்,அப்பகுதின்
231,appakuthiyin,அப்பகுதியின்,அப்பகுதியின்
232,appadaththil,அப்படத்தில்,அப்படத்தில்
233,appadatthil,அப்படத்தில்,அப்படத்தில்
234,appadaththai,அப்படத்தை,அப்படத்தை
235,appadatthai,அப்படத்தை,அப்படத்தை
236,appadiyaanaal,அப்படியானால்,அப்படியானால்
237,appaadal,அப்பாடல்,அப்பாடல்
238,appaatal,அப்பாடல்,அப்பாடல்
239,apengal,அப்பெண்கள்,அபெங்கல்
240,apenkal,அப்பெண்கள்,ஆப்பங்கள்
241,appenkal,அப்பெண்கள்,ஆப்பெங்கல்
242,appoluthu,அப்பொழுது,அப்பொழுது
243,appozhudhu,அப்பொழுது,அப்பொழுது
244,appozhuthu,அப்பொழுது,அப்பொழுது
245,americar,அமெரிக்கர்,அமெரிக்கர்
246,amerikkar,அமெரிக்கர்,அமெரிக்கர்
247,amerikkargalukku,அமெரிக்கர்களுக்கு,அமெரிக்கர்களுக்கு
248,amerikkarkalukku,அமெரிக்கர்களுக்கு,அமெரிக்கர்களுக்கு
249,amerikkargal,அமெரிக்கர்கள்,அமெரிக்கர்கள்
250,amerikkarkal,அமெரிக்கர்கள்,அமெரிக்கர்கள்
251,amaerikka,அமெரிக்கா,அமீரிக்க
252,amarica,அமெரிக்கா,அமரிக
253,amaricaa,அமெரிக்கா,அமரிகா
254,amarika,அமெரிக்கா,அமரிக்க
255,amarikaa,அமெரிக்கா,அமரிகா
256,america,அமெரிக்கா,அமெரிக்கப்
257,americaa,அமெரிக்கா,அமெரிக்கக்
258,amerika,அமெரிக்கா,அமெரிக்க
259,amerikaa,அமெரிக்கா,அமெரிக்கா
260,amerikka,அமெரிக்கா,அமெரிக்க
261,ameriqa,அமெரிக்கா,அமெரிக்க
262,ameriqaa,அமெரிக்கா,அமெரிக்கா
263,americaavirku,அமெரிக்காவிற்கு,அமெரிக்காவிற்கு
264,americavirkku,அமெரிக்காவிற்கு,அமெரிக்காவிற்கு
265,americavirku,அமெரிக்காவிற்கு,அமெரிக்கவிற்கு
266,amerikkaavirku,அமெரிக்காவிற்கு,அமெரிக்காவிற்கு
267,americaavil,அமெரிக்காவில்,அமெரிக்காவில்
268,americavil,அமெரிக்காவில்,அமெரிக்காவில்
269,amerikkaavil,அமெரிக்காவில்,அமெரிக்காவில்
270,americaavukku,அமெரிக்காவுக்கு,அமெரிக்காவுக்கு
271,americavukku,அமெரிக்காவுக்கு,அமெரிக்கவுக்கு
272,amerikkaavukku,அமெரிக்காவுக்கு,அமெரிக்காவுக்கு
273,americaavai,அமெரிக்காவை,அமெரிக்காவை
274,americavai,அமெரிக்காவை,அமெரிக்காவை
275,amerikkaavai,அமெரிக்காவை,அமெரிக்காவை
276,amaichchup,அமைச்சுப்,அமைச்சுப்
277,amaiththu,அமைத்து,அமைத்து
278,amaithu,அமைத்து,அமைது
279,amaitthu,அமைத்து,அமைத்து
280,amaiththuth,அமைத்துத்,அமைத்துத்
281,amaithuth,அமைத்துத்,அமைத்துத்
282,amaitthuth,அமைத்துத்,அமைத்துத்
283,amachankalil,அம்சங்களில்,அமைசங்களில்
284,amasankalil,அம்சங்களில்,அமசன்களில்
285,amsangalil,அம்சங்களில்,அம்சங்களில்
286,amsangkalil,அம்சங்களில்,அம்சங்களில்
287,amchankalum,அம்சங்களும்,அம்சங்களும்
288,amsangalum,அம்சங்களும்,அம்சங்களும்
289,amsankalum,அம்சங்களும்,அம்சங்களும்
290,amsangalaik,அம்சங்களைக்,அம்சங்களைக்
291,amsangazhaik,அம்சங்களைக்,அம்சங்களைக்
292,amsanggalaik,அம்சங்களைக்,அம்சங்களைக்
293,amsaththai,அம்சத்தை,அம்சித்தை
294,amchamaana,அம்சமான,அம்சமான
295,amchamana,அம்சமான,அம்சமண
296,amsamaana,அம்சமான,அம்சமான
297,ambalavaanar,அம்பலவாணர்,அம்பலவாரர்
298,ambalavanar,அம்பலவாணர்,அம்பலவனர்
299,ampalavaanar,அம்பலவாணர்,அம்பளவானர்
300,ayana,அயன,அய்யன
301,ayirai,அயிரை,ஐயரை
302,airoappiya,அய்ரோப்பிய,ஐரோப்பிய
303,airoopiya,அய்ரோப்பிய,ஐரோபியா
304,airoppiya,அய்ரோப்பிய,ஐரோப்பிய
305,ayrooppiya,அய்ரோப்பிய,ஐரோப்பிய
306,ayropiya,அய்ரோப்பிய,ஐரோபியா
307,europe,அய்ரோப்பிய,ஐரோப்பா
308,arakka,அரக்க,அறக்க
309,arrakka,அரக்க,அரக்க
310,arakkan,அரக்கன்,அரக்கன்
311,arrakkan,அரக்கன்,அரக்கன்
312,arakku,அரக்கு,அரக்கு
313,araku,அரக்கு,அரகு
314,aruppukkoattai,அருப்புக்கோட்டை,அருப்புக்கோட்டை
315,aruppukkoottai,அருப்புக்கோட்டை,அருப்புக்கூட்டை
316,aruppukkottai,அருப்புக்கோட்டை,அருப்புக்கோட்டை
317,aruppukoattai,அருப்புக்கோட்டை,அருப்புகோட்டை
318,arumbu,அரும்பு,அரும்பு
319,arppaniththa,அர்ப்பணித்த,அர்ப்பணித்த
320,ariyappatta,அறியப்பட்ட,அறியப்பட்ட
321,ariyappattadhu,அறியப்பட்டது,அறியப்பட்டது
322,ariyappattathu,அறியப்பட்டது,அறியப்பட்டது
323,ariyappattu,அறியப்பட்டு,அறியப்பட்டு
324,ariyaar,அறியார்,அரியார்
325,ariyum,அறியும்,அறியும்
326,arivadhu,அறிவது,அறிவது
327,arivathu,அறிவது,அறிவது
328,arivan,அறிவன்,அரிவன்
329,arivin,அறிவன்,அரிவின்
330,arivar,அறிவர்,அறிவர்
331,arivin,அறிவின்,அரிவின்
332,arivippugalai,அறிவிப்புகளை,அறிவிப்புகளை
333,arivippukalai,அறிவிப்புகளை,அறிவிப்புகளை
334,arivil,அறிவில்,அரிவில்
335,arivulla,அறிவுள்ள,அரிவுள்ள
336,arupathaam,அறுபதாம்,அருபதாம்
337,arupathugalil,அறுபதுகளில்,அருபதுகளில்
338,arupathukalil,அறுபதுகளில்,அருபதுகளில்
339,arupaththu,அறுபத்து,அறுபத்து
340,aupaththu,அறுபத்து,ஒபத்து
341,araiguuval,அறைகூவல்,அரைகுவல்
342,araikooval,அறைகூவல்,அரைக்கோவல்
343,araikuuval,அறைகூவல்,அரைகுவல்
344,alagaal,அலகால்,அலகால்
345,alakaal,அலகால்,அலகால்
346,alagil,அலகில்,அலகில்
347,alakil,அலகில்,அலகில்
348,aliyum,அலியும்,அலியும்
349,alavaal,அளவால்,அளவால்
350,alavukadandhdha,அளவுகடந்த,அலவுகிநாத்த
351,alavukadandhtha,அளவுகடந்த,அலவுகிநாத்த
352,alavukadantha,அளவுகடந்த,அலவுகடந்த
353,alavukatandhdha,அளவுகடந்த,அலவுகிந்தந்த
354,alavukatandhtha,அளவுகடந்த,அலவுகிந்தந்த
355,alavugalum,அளவுகளும்,அலவுகளும்
356,alavukalum,அளவுகளும்,அளவுகளும்
357,alavugalai,அளவுகளை,அளவுகளை
358,alavukalai,அளவுகளை,அளவுகளை
359,alavugal,அளவுகள்,அலவுகள்
360,alavukal,அளவுகள்,அலவுகள்
361,alavukkuch,அளவுக்குச்,அளவுக்குச்
362,alavukkup,அளவுக்குப்,அளவுக்குப்
363,alavukkum,அளவுக்கும்,அளவுக்கும்
364,alavulla,அளவுள்ள,அளவுள்ள
365,alagi,அழகி,அழகி
366,alaki,அழகி,அழகி
367,azhagi,அழகி,அழகி
368,azhaki,அழகி,அழகி
369,alaginai,அழகினை,அலகினை
370,alakinai,அழகினை,அலகினை
371,alazhaginai,அழகினை,அலகினை
372,azhaginai,அழகினை,அழகினை
373,azhakinai,அழகினை,அழகினை
374,alagin,அழகின்,அலைகின்
375,alakin,அழகின்,அலகின்
376,azhagin,அழகின்,அலைகின்
377,azhakin,அழகின்,அலகின்
378,alakiyaana,அழகியான,அழகியான
379,alazhagiyaana,அழகியான,அழகியான
380,azhagiyaana,அழகியான,அழகியான
381,azhakiyaana,அழகியான,அழகியான
382,alagil,அழகில்,அலகில்
383,alakil,அழகில்,அலகில்
384,azhagil,அழகில்,அலகில்
385,azhakil,அழகில்,அலகில்
386,azhiththadhu,அழித்தது,அழுத்தது
387,azhiththathu,அழித்தது,அழுத்தது
388,azhiththana,அழித்தன,அழுத்தன
389,azhiththanar,அழித்தனர்,அழுத்தனர்
390,azhiththavan,அழித்தவன்,அழுத்தவன்
391,aliththaan,அழித்தான்,அளித்தான்
392,azhiththaan,அழித்தான்,அழுத்தான்
393,aliththaar,அழித்தார்,அளித்தார்
394,azhiththaar,அழித்தார்,அழுத்தார்
395,aluththi,அழுத்தி,அழுத்தி
396,azhuththi,அழுத்தி,அழுத்தி
397,alaippu,அழைப்பு,அலைப்பு
398,azhaippu,அழைப்பு,அழைப்பு
399,avathaaranggalil,அவதாரங்களில்,அவதாரங்களில்
400,avathaarangkalil,அவதாரங்களில்,அவதாரங்களில்
401,avathaaranggal,அவதாரங்கள்,அவதாரங்கள்
402,avathaarangkal,அவதாரங்கள்,அவதாரங்கள்
403,avathaaraththil,அவதாரத்தில்,அவதாரத்தில்
404,avatar,அவதார்,அவறவர்
405,avathaar,அவதார்,அவதார்
406,avanudaiya,அவனுடைய,அவனுடைய
407,avaridam,அவரிடம்,அவரிடம்
408,avatrtrudan,அவற்றுடன்,அவற்றுடன்
409,avatrudan,அவற்றுடன்,அவற்றுடன்
410,avattrudan,அவற்றுடன்,அவற்றுடன்
411,avalukku,அவளுக்கு,அவலுக்கு
412,avaludan,அவளுடன்,அவளுடன்
413,availaik,அவளைக்,அவைலைக்
414,avalaik,அவளைக்,அவலைக்
415,avalaith,அவளைத்,அவளைத்
416,avalaip,அவளைப்,அவளைப்
417,avvagai,அவ்வகை,அவ்வகை
418,avvakai,அவ்வகை,அவ்வகை
419,aagast,ஆகஸ்ட்,ஆகஸ்ட்
420,aagust,ஆகஸ்ட்,ஆகஸ்ட்
421,aakast,ஆகஸ்ட்,ஆகஸ்ட்
422,agast,ஆகஸ்ட்,ஆகஸ்ட்
423,august,ஆகஸ்ட்,ஆகஸ்டு
424,auuguust,ஆகஸ்ட்,ஆகஸ்டு
425,avgast,ஆகஸ்ட்,ஆல்செட்
426,awgast,ஆகஸ்ட்,ஆல்செட்
427,aagivida,ஆகிவிட,ஆகிவிட
428,aagivita,ஆகிவிட,ஆகிவிட
429,aakivida,ஆகிவிட,ஆகிவிட
430,aagividum,ஆகிவிடும்,ஆகிவிடும்
431,aagivitum,ஆகிவிடும்,ஆகிவிடும்
432,aakividum,ஆகிவிடும்,ஆகிவிடும்
433,aaakspoard,ஆக்ஸ்போர்ட்,ஆக்சுபோர்டு
434,aaksfoard,ஆக்ஸ்போர்ட்,ஆக்ஸ்போர்டு
435,aakspoard,ஆக்ஸ்போர்ட்,ஆக்ஸ்போர்டு
436,oxford,ஆக்ஸ்போர்ட்,ஆக்ஸ்போர்டு
437,aasiramaththirku,ஆசிரமத்திற்கு,ஆசிரமத்திற்கு
438,aasiramaththiruku,ஆசிரமத்திற்கு,ஆசிரமத்திற்கு
439,aasiramaththil,ஆசிரமத்தில்,ஆசிரமத்தில்
440,aachiramam,ஆசிரமம்,ஆசிரமாம்
441,aashram,ஆசிரமம்,ஆஷ்சார்
442,aasiramam,ஆசிரமம்,ஆசிரமம்
443,aasram,ஆசிரமம்,ஆஸ்ரிம்
444,ashram,ஆசிரமம்,அஸ்காரம்
445,ashramm,ஆசிரமம்,அஸ்ராம்
446,asram,ஆசிரமம்,அந்திரம்
447,asramm,ஆசிரமம்,அந்திரம்
448,aasiriyaraakap,ஆசிரியராகப்,ஆசிரியராப்
449,assiriyaraagap,ஆசிரியராகப்,ஆசிரியராப்
450,aasiriyaraakavum,ஆசிரியராகவும்,ஆசிரியராகவும்
451,assiriyaraagavum,ஆசிரியராகவும்,ஆசிரியராகவும்
452,aanchchanaeyar,ஆஞ்சநேயர்,ஆஞ்சனேயர்
453,aanjaneayar,ஆஞ்சநேயர்,ஆஞ்சனேயர்
454,aanjchanaeyar,ஆஞ்சநேயர்,ஆஞ்சனேயர்
455,anjaneyar,ஆஞ்சநேயர்,அஞ்சனேயர்
456,aadippoora,ஆடிப்பூர,ஆடிப்போர
457,aadippooram,ஆடிப்பூரம்,ஆடிப்பூரம்
458,aadugalil,ஆடுகளில்,ஆடுகளில்
459,aadukalil,ஆடுகளில்,ஆடுகளில்
460,aadubavar,ஆடுபவர்,ஆடுபவர்
461,aadupavar,ஆடுபவர்,ஆடுபவர்
462,aadum,ஆடும்,ஆடும்
463,aaduvar,ஆடுவர்,ஆடுவர்
464,aatti,ஆட்டி,ஆட்டி
465,aattin,ஆட்டின்,ஆட்டின்
466,aangalidam,ஆண்களிடம்,ஆங்களிடம்
467,aangalitam,ஆண்களிடம்,ஆங்களிடம்
468,aankalitam,ஆண்களிடம்,ஆங்களிடம்
469,aangalin,ஆண்களின்,ஆங்களின்
470,aankalin,ஆண்களின்,ஆங்களின்
471,aangalilum,ஆண்களிலும்,ஆங்களிலும்
472,aankalilum,ஆண்களிலும்,ஆங்களிலும்
473,aangalukkaana,ஆண்களுக்கான,ஆங்களுக்கான
474,aangalum,ஆண்களும்,ஆங்களும்
475,aankalum,ஆண்களும்,ஆங்களும்
476,aangalae,ஆண்களே,ஆங்களே
477,aankalae,ஆண்களே,ஆங்களே
478,aangalaik,ஆண்களைக்,ஆங்களைக்
479,aankalaik,ஆண்களைக்,ஆங்களைக்
480,aangak,ஆண்கள்,ஆங்கக்
481,aangal,ஆண்கள்,ஆங்கள்
482,aankal,ஆண்கள்,ஆங்கள்
483,aanda,ஆண்ட,ஆண்ட
484,aanta,ஆண்ட,ஆண்ட
485,aandathu,ஆண்டது,ஆண்டது
486,aantathu,ஆண்டது,ஆண்டது
487,aandanar,ஆண்டனர்,ஆண்டனர்
488,aantanar,ஆண்டனர்,ஆண்டனர்
489,aandarchan,ஆண்டர்சன்,ஆண்டர்சன்
490,aandarsan,ஆண்டர்சன்,ஆண்டார்சன்
491,andarshon,ஆண்டர்சன்,அன்டர்சூன்
492,andarson,ஆண்டர்சன்,அன்டர்சன்
493,anderson,ஆண்டர்சன்,அந்திரசன்
494,aandavar,ஆண்டவர்,ஆண்டவர்
495,aantavar,ஆண்டவர்,ஆண்டவர்
496,aandilirunththu,ஆண்டிலிருந்து,ஆண்டிலிருந்து
497,aandilirunthu,ஆண்டிலிருந்து,ஆண்டிலிருந்து
498,aandae,ஆண்டே,ஆண்டே
499,aantae,ஆண்டே,ஆண்டே
500,aatharavaaga,ஆதரவாக,ஆதரவாக
501,aatharavaaka,ஆதரவாக,ஆதரவாக
502,aatharavaagach,ஆதரவாகச்,ஆதரவாகச்
503,aatharavaakach,ஆதரவாகச்,ஆதரவாகச்
504,aatharvaagach,ஆதரவாகச்,ஆதர்வாகச்
505,aatharikkavillai,ஆதரிக்கவில்லை,ஆதரிக்கவில்லை
506,aathmaa,ஆத்மா,ஆத்மா
507,aathmaavin,ஆத்மாவின்,ஆத்மாவின்
508,aathmaavil,ஆத்மாவில்,ஆத்மாவில்
509,aanthai,ஆந்தை,ஆந்தை
510,aanththai,ஆந்தை,ஆந்தை
511,aanaimalai,ஆனைமலை,ஆணைமலை
512,aan,ஆன்,ஆன்
513,aana,ஆன்,ஆன
514,ain,ஆன்,என்
515,ainn,ஆன்,என்
516,an,ஆன்,ஆன்
517,ann,ஆன்,என்
518,ein,ஆன்,ீான்
519,einn,ஆன்,யின்
520,en,ஆன்,எண்
521,enn,ஆன்,என்
522,on,ஆன்,ஒன்
523,aanmaa,ஆன்மா,ஆன்ம
524,anema,ஆன்மா,அன்மே
525,aniima,ஆன்மா,அனிமா
526,anima,ஆன்மா,அனிம
527,animaa,ஆன்மா,அனிமா
528,anma,ஆன்மா,அன்ம
529,enima,ஆன்மா,எனிமா
530,aanmaavukku,ஆன்மாவுக்கு,ஆன்மாவுக்கு
531,aapirikkaa,ஆபிரிக்கா,ஆபிரிக்கா
532,africa,ஆபிரிக்கா,ஆபிரிக்க
